event_id,scenario_id,timestamp,feeder_id,src_device,dst_device,protocol,message_type,direction,sequence,point_id,value,unit,quality,delivery_status,latency_ms,injected,replay_of_event_id,original_value,reported_value,command_id,result,label,attack_id,mitre_technique
unauthorized_command_ieee37-atk001,unauthorized_command_ieee37,2010-07-01T00:00:00,ieee37,SCADA_MASTER,RTU_ieee37,DNP3,COMMAND,SCADA_TO_RTU,1,CTRL_load_load_018_enabled,0.0,,GOOD,DELIVERED,0,1,,True,,CMD-UNAUTHORIZED_COMMAND-load_018-enabled,executed,ATTACK,unauthorized_command,T0855
unauthorized_command_ieee37-atk002,unauthorized_command_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,2,CTRL_load_load_018_enabled,0.0,,GOOD,DELIVERED,0,0,,True,False,CMD-UNAUTHORIZED_COMMAND-load_018-enabled,APPLIED,ATTACK,unauthorized_command,T0855
