event_id,scenario_id,timestamp,feeder_id,src_device,dst_device,protocol,message_type,direction,sequence,point_id,value,unit,quality,delivery_status,latency_ms,injected,replay_of_event_id,original_value,reported_value,command_id,result,label,attack_id,mitre_technique
unauthorized_command_ieee123-atk001,unauthorized_command_ieee123,2010-07-01T00:00:00,ieee123,SCADA_MASTER,RTU_ieee123,DNP3,COMMAND,SCADA_TO_RTU,1,CTRL_switch_switch_010_closed,1.0,,GOOD,DELIVERED,0,1,,False,,CMD-UNAUTHORIZED_COMMAND-switch_010-closed,executed,ATTACK,unauthorized_command,T0855
unauthorized_command_ieee123-atk002,unauthorized_command_ieee123,2010-07-01T00:00:00,ieee123,RTU_ieee123,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,2,CTRL_switch_switch_010_closed,1.0,,GOOD,DELIVERED,0,0,,False,True,CMD-UNAUTHORIZED_COMMAND-switch_010-closed,APPLIED,ATTACK,unauthorized_command,T0855
