event_id,scenario_id,timestamp,feeder_id,src_device,dst_device,protocol,message_type,direction,sequence,point_id,value,unit,quality,delivery_status,latency_ms,injected,replay_of_event_id,original_value,reported_value,command_id,result,label,attack_id,mitre_technique
parameter_modification_ieee37-atk001,parameter_modification_ieee37,2010-07-01T00:00:00,ieee37,SCADA_MASTER,RTU_ieee37,DNP3,COMMAND,SCADA_TO_RTU,1,CTRL_load_load_022_kvar_multiplier,1.35,pu,GOOD,DELIVERED,0,1,,1.0,,PARAM-PARAMETER_MODIFICATION-load_022-kvar_multiplier,executed,ATTACK,parameter_modification,T0836
parameter_modification_ieee37-atk002,parameter_modification_ieee37,2010-07-01T00:00:00,ieee37,RTU_ieee37,SCADA_MASTER,DNP3,REPORT,RTU_TO_SCADA,2,CTRL_load_load_022_kvar_multiplier,1.35,pu,GOOD,DELIVERED,0,1,,1.0,1.35,PARAM-PARAMETER_MODIFICATION-load_022-kvar_multiplier,APPLIED,ATTACK,parameter_modification,T0836
